,Label,Area,intensity_mean_fluor,mean_chi2,mean_tau,min_fluor,min_chi2,min_tau,STD_fluor,STD_chi2,STD_tau,File Name,ph,Date,selected_analysis
5,6,64.0,316.8125,105.828125,1376.703125,258.0,84.0,547.0,30.636923699190167,10.788527887732181,405.8047051726167,3,75,2023-10-12,analyze_single_fitted_channel
21,22,90.0,305.6777777777778,103.88888888888889,1526.8,264.0,78.0,792.0,19.310807439115987,10.337036373528647,386.1293450530678,3,75,2023-10-12,analyze_single_fitted_channel
24,25,104.0,388.1442307692308,109.57692307692308,1435.923076923077,196.0,86.0,716.0,69.15707014710325,13.119049792405749,360.0068560326769,3,75,2023-10-12,analyze_single_fitted_channel
27,28,182.0,573.032967032967,117.23076923076923,1510.0934065934066,402.0,79.0,866.0,77.80441109411606,13.662796942332303,354.4950705037689,3,75,2023-10-12,analyze_single_fitted_channel
28,29,82.0,410.1585365853659,112.78048780487805,1447.121951219512,277.0,84.0,813.0,47.37202774309502,12.618245007889154,342.6886658663603,3,75,2023-10-12,analyze_single_fitted_channel
30,31,63.0,344.76190476190476,106.5079365079365,1467.8095238095239,288.0,74.0,751.0,34.10474727729371,14.076743192819983,370.0759191585465,3,75,2023-10-12,analyze_single_fitted_channel
32,33,75.0,374.68,108.32,1350.3333333333333,260.0,74.0,541.0,52.29612095238677,13.056962382831111,349.583765196396,3,75,2023-10-12,analyze_single_fitted_channel
33,34,104.0,490.86538461538464,116.42307692307692,1438.9423076923076,372.0,92.0,764.0,58.263007410743725,12.34573447646245,363.27007930429875,3,75,2023-10-12,analyze_single_fitted_channel
34,35,214.0,556.4065420560747,116.72897196261682,1530.0934579439252,369.0,80.0,860.0,73.8280279718404,12.898648841401696,316.2794231508009,3,75,2023-10-12,analyze_single_fitted_channel
39,40,38.0,451.7631578947368,113.84210526315789,1419.2631578947369,380.0,83.0,819.0,25.655033578665172,12.480566611187493,311.130678604626,3,75,2023-10-12,analyze_single_fitted_channel
42,43,52.0,407.0769230769231,113.21153846153847,1347.0961538461538,350.0,88.0,849.0,28.15810182211954,12.748056470967732,302.20416300748286,3,75,2023-10-12,analyze_single_fitted_channel
43,44,102.0,374.921568627451,109.26470588235294,1515.362745098039,160.0,74.0,848.0,68.83465358955698,13.380499763951372,324.032459921318,3,75,2023-10-12,analyze_single_fitted_channel
44,45,112.0,381.33035714285717,108.875,1465.875,298.0,82.0,727.0,37.040129876945905,11.899973739466823,363.02391019738633,3,75,2023-10-12,analyze_single_fitted_channel
45,46,130.0,393.53076923076924,108.78461538461538,1445.1153846153845,296.0,82.0,849.0,22.820769373377825,11.82889852170042,375.6022576039177,3,75,2023-10-12,analyze_single_fitted_channel
48,49,45.0,371.0888888888889,108.13333333333334,1429.9777777777779,299.0,80.0,616.0,22.410138798937734,15.662552651325887,402.67265386767883,3,75,2023-10-12,analyze_single_fitted_channel
50,51,252.0,588.063492063492,118.1984126984127,1490.1904761904761,388.0,87.0,752.0,71.09202018396466,12.7407108030199,320.8007766854617,3,75,2023-10-12,analyze_single_fitted_channel
52,53,62.0,311.35483870967744,104.69354838709677,1425.6290322580646,281.0,82.0,659.0,15.597866659541108,11.21719404519948,345.24971018515635,3,75,2023-10-12,analyze_single_fitted_channel
54,55,64.0,374.890625,109.328125,1561.8125,246.0,79.0,948.0,62.79408739769514,13.727316161011773,352.5421461949621,3,75,2023-10-12,analyze_single_fitted_channel
56,57,158.0,490.11392405063293,113.77215189873418,1460.5189873417721,277.0,81.0,747.0,77.85689360660481,11.686245693434076,356.3351558720623,3,75,2023-10-12,analyze_single_fitted_channel
59,60,155.0,483.3290322580645,114.71612903225807,1455.2129032258065,356.0,82.0,670.0,76.57381930065446,13.462854434767458,322.96521308921933,3,75,2023-10-12,analyze_single_fitted_channel
64,65,33.0,320.3939393939394,106.18181818181819,1582.939393939394,302.0,88.0,935.0,6.405203348506654,10.234980260686346,416.37300726078564,3,75,2023-10-12,analyze_single_fitted_channel
66,67,144.0,419.0833333333333,112.07638888888889,1449.4652777777778,175.0,71.0,708.0,88.41823749782746,13.493352201233883,319.7564375425815,3,75,2023-10-12,analyze_single_fitted_channel
68,69,103.0,430.79611650485435,112.79611650485437,1393.4077669902913,326.0,84.0,815.0,45.22593963630194,11.851311199672176,306.9111834110654,3,75,2023-10-12,analyze_single_fitted_channel
70,71,63.0,334.85714285714283,106.85714285714286,1424.5238095238096,291.0,84.0,736.0,17.24506567831602,12.681516536992117,382.10718421243706,3,75,2023-10-12,analyze_single_fitted_channel
71,72,46.0,325.17391304347825,108.08695652173913,1531.5,288.0,81.0,787.0,17.85241957517498,13.41288492612935,373.6567682175483,3,75,2023-10-12,analyze_single_fitted_channel
72,73,47.0,323.48936170212767,106.04255319148936,1504.936170212766,289.0,79.0,765.0,19.031745417463135,11.788846959314952,429.1649687402775,3,75,2023-10-12,analyze_single_fitted_channel
73,74,48.0,394.7708333333333,107.54166666666667,1393.75,368.0,76.0,734.0,15.893184576170448,14.370047456041643,352.2182976034418,3,75,2023-10-12,analyze_single_fitted_channel
